"stockid","commonname","region","M","life_history","year_start","year_end","n_years","FMI_mean","FMI_max","FMI_min","first_breach_caution","first_breach_warning","first_breach_danger","years_safe","years_caution","years_warning","years_danger","peak_FMI_year","ever_breached_danger","pct_danger"
"ACADREDGOMGB","Acadian redfish","US East Coast",0.05,"Long-lived (M < 0.2)",1913,2019,107,1.44785607476636,11.3564,2e-04,1939,1941,1941,53,4,2,48,1991,TRUE,44.9
"ACMACKSARG","Argentine chub mackerel","South America",0.38,"Medium-lived (0.2 ≤ M < 0.4)",1990,2019,30,0.272017543859649,0.781578947368421,0,2016,NA,NA,29,1,0,0,2016,FALSE,0
"ALBANATL","Albacore tuna","Atlantic Ocean",0.3,"Medium-lived (0.2 ≤ M < 0.4)",1930,2015,86,0.274536423209493,0.53,0.0466666666666667,NA,NA,NA,86,0,0,0,1983,FALSE,0
"ALBASATL","Albacore tuna","Atlantic Ocean",0.3,"Medium-lived (0.2 ≤ M < 0.4)",1956,2014,59,0.466943502824859,1.08,0,1994,2001,NA,52,6,1,0,2001,FALSE,0
"ALBASPAC","Albacore tuna","Pacific Ocean",0.4,"Moderate turnover (0.4 ≤ M < 0.8)",1960,2019,60,0.670291666666667,1.54,0.1775,1988,1988,1989,40,7,5,8,1989,TRUE,13.3
"ALPLAICBSAI","Alaska plaice","US Alaska",0.25,"Medium-lived (0.2 ≤ M < 0.4)",1975,2020,46,0.165710434782609,0.5,0.0488,NA,NA,NA,46,0,0,0,1988,FALSE,0
"AMPL3LNO","American plaice","Canada East Coast",0.2,"Medium-lived (0.2 ≤ M < 0.4)",1960,2006,47,1.54382978723404,6,0.22,1967,1967,1967,10,3,3,31,1993,TRUE,66
"AMPL3M","American plaice","Canada East Coast",0.2,"Medium-lived (0.2 ≤ M < 0.4)",1988,2007,20,0.768125,2.4,0.0795,1988,1988,1988,14,1,0,5,1989,TRUE,25
"AMPL5YZ","American plaice","US East Coast",0.2,"Medium-lived (0.2 ≤ M < 0.4)",1980,2018,39,2.04512820512821,4.55,0.31,1980,1980,1980,10,2,1,26,1995,TRUE,66.7
"ANCHMEDGSA16","Anchovy","Mediterranean-Black Sea",0.66,"Moderate turnover (0.4 ≤ M < 0.8)",1998,2021,24,0.95100303030303,2.2347303030303,0.0287878787878788,2009,2011,2012,13,1,1,9,2012,TRUE,37.5
"ANCHMEDGSA17","Anchovy","Mediterranean-Black Sea",1.1,"Fast turnover (M ≥ 0.8)",2000,2011,12,0.300151515151515,0.453636363636364,0.146363636363636,NA,NA,NA,12,0,0,0,2001,FALSE,0
"ANCHOBAYB","Anchovy","European Union",1.2,"Fast turnover (M ≥ 0.8)",1987,2020,34,0.257906229877451,0.5675,0,NA,NA,NA,34,0,0,0,1987,FALSE,0
"ANCHONWA","Anchovy","West Africa",1.175,"Fast turnover (M ≥ 0.8)",2000,2010,11,1.34158607350097,3.83829787234043,0.28936170212766,2001,2001,2001,4,2,0,5,2001,TRUE,45.5
"ANCHOSA","Anchovy","Southern Africa",1.1,"Fast turnover (M ≥ 0.8)",1985,2019,35,0.0823792207792208,0.218181818181818,0.0152727272727273,NA,NA,NA,35,0,0,0,1985,FALSE,0
"ANCHOVYKILKACS","Anchovy kilka","Other",0.473,"Moderate turnover (0.4 ≤ M < 0.8)",1995,2004,10,2.69492600422833,6.19450317124736,1.37632135306554,1995,1995,1995,0,0,0,10,1999,TRUE,100
"ANGLMEDGSA15-16","Black bellied angler","Mediterranean-Black Sea",0.2,"Medium-lived (0.2 ≤ M < 0.4)",2009,2010,2,1.5125,1.755,1.27,2009,2009,2009,0,0,0,2,2010,TRUE,100
"APOLLNSJ","Walleye pollock","Japan",0.25,"Medium-lived (0.2 ≤ M < 0.4)",1980,2013,34,0.698335838829775,1.00214132762313,0.412108559498956,1980,1985,NA,23,10,1,0,1985,FALSE,0
"APOLLPJPN","Walleye pollock","Japan",0.25,"Medium-lived (0.2 ≤ M < 0.4)",1981,2013,33,0.728672603946684,1.05133470225873,0.389285714285714,1981,1987,NA,17,14,2,0,1988,FALSE,0
"ARFLOUNDGA","Arrowtooth flounder","US Alaska",0.2,"Medium-lived (0.2 ≤ M < 0.4)",1961,2020,60,0.0798441666666667,0.2105,0.00955,NA,NA,NA,60,0,0,0,1973,FALSE,0
"ARFLOUNDPCOAST","Arrowtooth flounder","US West Coast",0.166,"Long-lived (M < 0.2)",1916,2020,105,1.37665978198508,3.2710843373494,0,1943,1943,1956,40,4,2,59,1990,TRUE,56.2
"ARGANCHONARG","Argentine anchoita","South America",1.0125,"Fast turnover (M ≥ 0.8)",1990,2019,30,0.0431374485596708,0.0948148148148148,0.0108641975308642,NA,NA,NA,30,0,0,0,1992,FALSE,0
"ARGANCHOSARG","Argentine anchoita","South America",1.00333333333333,"Fast turnover (M ≥ 0.8)",1990,2019,30,0.00527209302325583,0.0139534883720931,0.000598006644518274,NA,NA,NA,30,0,0,0,1995,FALSE,0
"ARGHAKENARG","Argentine hake","South America",0.3,"Medium-lived (0.2 ≤ M < 0.4)",1986,2018,33,2.48343434343434,5.43333333333333,1.11,1986,1986,1986,0,0,3,30,2003,TRUE,90.9
"ARGHAKESARG","Argentine hake","South America",0.3,"Medium-lived (0.2 ≤ M < 0.4)",1990,2018,29,2.31540229885057,3.4,1.6,1990,1990,1990,0,0,0,29,2004,TRUE,100
"ATHAL5YZ","Atlantic halibut","US East Coast",0.15,"Long-lived (M < 0.2)",1800,2007,208,0.749967948717949,4.46,0,1880,1885,1888,121,25,26,36,1896,TRUE,17.3
"ATKABSAI","Atka mackerel","US Alaska",0.3,"Medium-lived (0.2 ≤ M < 0.4)",1977,2019,43,0.685820930232558,1.69333333333333,0.14,1978,1995,1995,26,8,6,3,1996,TRUE,7
"ATLCROAKMATLC","Atlantic croaker","US East Coast",0.3,"Medium-lived (0.2 ≤ M < 0.4)",1973,2008,36,0.511111111111111,1.66666666666667,0.1,1974,1978,1979,27,5,2,2,1979,TRUE,5.6
"ATOOTHFISHRS","Antarctic toothfish","Other",0.13,"Long-lived (M < 0.2)",1995,2007,13,0.123991715976331,0.336923076923077,0,NA,NA,NA,13,0,0,0,2007,FALSE,0
"AUSSALMONNZ","Australian salmon","New Zealand",0.19,"Long-lived (M < 0.2)",1929,2013,85,0.261919504643963,1.26315789473684,0,1988,1988,1988,83,0,1,1,1988,TRUE,1.2
"BGRDRNSWWA","Blue grenadier","Australia",0.162782,"Long-lived (M < 0.2)",1960,2020,61,0.269719896931449,3.3996326375152,0,2019,2019,2019,59,0,0,2,2020,TRUE,3.3
"BGROCKPCOAST","Blackgill rockfish","US West Coast",0.07,"Long-lived (M < 0.2)",1950,2018,69,6.27349896480331,12.4285714285714,0.8,1950,1953,1954,0,3,2,64,1992,TRUE,92.8
"BIGHTREDSE","Bight redfish","Australia",0.1029985,"Long-lived (M < 0.2)",1958,2014,57,0.144287572234275,0.811662305761734,0,2006,NA,NA,56,1,0,0,2006,FALSE,0
"BKCDLFENI","Black cardinalfish","New Zealand",0.04,"Long-lived (M < 0.2)",1923,2009,87,2.27488505747126,21.075,0,1985,1987,1987,63,1,0,23,2006,TRUE,26.4
"BLACKGROUPERGMSATL","Black grouper","US Southeast and Gulf",0.136,"Long-lived (M < 0.2)",1986,2008,23,1.15121483375959,2.15441176470588,0.573529411764706,1986,1986,1986,7,3,1,12,1987,TRUE,52.2
"BLACKOREOPR","Black oreo","New Zealand",0.04,"Long-lived (M < 0.2)",1974,2009,36,1.38365625,7.525,0,1982,1982,1982,18,1,1,16,2009,TRUE,44.4
"BLACKOREOWECR","Black oreo","New Zealand",0.044,"Long-lived (M < 0.2)",1973,2007,35,1.13755194805195,2.93181818181818,0.143863636363636,1975,1978,1981,12,6,4,13,1982,TRUE,37.1
"BLACKROCKNPCOAST","Black rockfish","US West Coast",0.16,"Long-lived (M < 0.2)",1915,2006,92,0.297010869565217,1.3,0,1982,1986,1988,79,6,6,1,1988,TRUE,1.1
"BLACKROCKSPCOAST","Black rockfish","US West Coast",0.16,"Long-lived (M < 0.2)",1915,2006,92,0.132744565217391,0.5875,0,NA,NA,NA,92,0,0,0,1992,FALSE,0
"BLSHARNPAC","Blue shark","Pacific Ocean",0.1354,"Long-lived (M < 0.2)",1970,2015,46,2.5592447498555,6.35155096011817,0.738552437223043,1970,1970,1972,1,4,5,36,1986,TRUE,78.3
"BLUEFISHATLC","Bluefish","US East Coast",0.2,"Medium-lived (0.2 ≤ M < 0.4)",1982,2019,38,1.07039473684211,2.02,0.65,1982,1983,1986,8,14,5,11,2017,TRUE,28.9
"BLUEROCKCAL","Blue rockfish","US West Coast",0.12,"Long-lived (M < 0.2)",1916,2007,92,0.308605072463768,1.6,0,1979,1981,1981,82,3,2,5,1992,TRUE,5.4
"BMACKECS","Spotted mackerel","Japan",0.4,"Moderate turnover (0.4 ≤ M < 0.8)",1992,2018,27,0.944444444444444,1.425,0.55,1992,1995,2018,7,8,11,1,2018,TRUE,3.7
"BMACKPJPN","Spotted mackerel","Japan",0.4,"Moderate turnover (0.4 ≤ M < 0.8)",1995,2018,24,0.77073572885737,1.36194029850746,0.34076433121019,1995,1995,1997,11,10,2,1,1997,TRUE,4.2
"BMARLINPAC","Blue marlin","Pacific Ocean",0.42,"Moderate turnover (0.4 ≤ M < 0.8)",1971,2019,49,0.486831875607386,0.90952380952381,0.211904761904762,2002,NA,NA,44,5,0,0,2003,FALSE,0
"BNSNZ","Bluenose","New Zealand",0.08,"Long-lived (M < 0.2)",1935,2011,77,0.581516233766234,2.875,0,1992,1994,1997,57,2,3,15,2005,TRUE,19.5
"BRMSOJ","Yellow sea bream","Japan",0.22,"Medium-lived (0.2 ≤ M < 0.4)",1980,2010,31,4.09530791788856,6.72727272727273,2.09090909090909,1980,1980,1980,0,0,0,31,1995,TRUE,100
"BSBASSMATLC","Black sea bass","US East Coast",1.6,"Fast turnover (M ≥ 0.8)",1968,2019,52,0.384098557692308,0.8375,0.13125,1986,NA,NA,49,3,0,0,1994,FALSE,0
"BSBASSSATL","Black sea bass","US Southeast and Gulf",0.38,"Medium-lived (0.2 ≤ M < 0.4)",1978,2016,39,1.90539811066127,3.63157894736842,0.513157894736842,1978,1979,1982,2,3,6,28,1995,TRUE,71.8
"BSQLOBSTERCSCH","Yellow squat lobster","South America",0.3,"Medium-lived (0.2 ≤ M < 0.4)",1979,2015,37,0.791261261261261,2.73,0.05,1981,1981,1981,23,4,1,9,1981,TRUE,24.3
"BSQLOBSTERNCH","Yellow squat lobster","South America",0.3,"Medium-lived (0.2 ≤ M < 0.4)",1985,2015,31,1.05148387096774,2.73,0.122333333333333,1985,1985,1985,16,0,4,11,1985,TRUE,35.5
