"stockid","year","F","metric_type","M","commonname","region","life_history","FMI","zone"
"ACADREDGOMGB",1913,1e-05,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",2e-04,"Safe"
"ACADREDGOMGB",1914,4e-05,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",8e-04,"Safe"
"ACADREDGOMGB",1915,6e-05,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",0.0012,"Safe"
"ACADREDGOMGB",1916,8e-05,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",0.0016,"Safe"
"ACADREDGOMGB",1917,0.00012,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",0.0024,"Safe"
"ACADREDGOMGB",1918,0.00011,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",0.0022,"Safe"
"ACADREDGOMGB",1919,4e-05,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",8e-04,"Safe"
"ACADREDGOMGB",1920,5e-05,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",0.001,"Safe"
"ACADREDGOMGB",1921,2e-05,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",4e-04,"Safe"
"ACADREDGOMGB",1922,1e-05,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",2e-04,"Safe"
"ACADREDGOMGB",1923,1e-05,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",2e-04,"Safe"
"ACADREDGOMGB",1924,6e-05,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",0.0012,"Safe"
"ACADREDGOMGB",1925,4e-05,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",8e-04,"Safe"
"ACADREDGOMGB",1926,4e-05,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",8e-04,"Safe"
"ACADREDGOMGB",1927,4e-05,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",8e-04,"Safe"
"ACADREDGOMGB",1928,9e-05,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",0.0018,"Safe"
"ACADREDGOMGB",1929,5e-05,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",0.001,"Safe"
"ACADREDGOMGB",1930,8e-05,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",0.0016,"Safe"
"ACADREDGOMGB",1931,0.00016,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",0.0032,"Safe"
"ACADREDGOMGB",1932,9e-05,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",0.0018,"Safe"
"ACADREDGOMGB",1933,0.00018,"F",0.05,"Acadian redfish","US East Coast","Long-lived (M < 0.2)",0.0036,"Safe"
