"stockid","tsyear","F","M","B_BMSY","stocklong","commonname","scientificname","region","FMI","log_F","log_M"
"ACADREDGOMGB",1913,1e-05,0.05,2.93097008409301,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",2e-04,-5,-1.30102999566398
"ACADREDGOMGB",1914,4.33e-05,0.05,2.9309620169095,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",0.000866,-4.36351210364663,-1.30102999566398
"ACADREDGOMGB",1915,6e-05,0.05,2.93092974817549,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",0.0012,-4.22184874961636,-1.30102999566398
"ACADREDGOMGB",1916,8e-05,0.05,2.93089949623734,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",0.0016,-4.09691001300806,-1.30102999566398
"ACADREDGOMGB",1917,0.0001245,0.05,2.93088336187034,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",0.00249,-3.90483064856824,-1.30102999566398
"ACADREDGOMGB",1918,0.00011,0.05,2.93092168099199,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",0.0022,-3.95860731484178,-1.30102999566398
"ACADREDGOMGB",1919,4e-05,0.05,2.93111932698783,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",8e-04,-4.39794000867204,-1.30102999566398
"ACADREDGOMGB",1920,5e-05,0.05,2.93149445102078,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",0.001,-4.30102999566398,-1.30102999566398
"ACADREDGOMGB",1921,2e-05,0.05,2.93446071318799,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",4e-04,-4.69897000433602,-1.30102999566398
"ACADREDGOMGB",1922,1e-05,0.05,2.93511213825596,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",2e-04,-5,-1.30102999566398
"ACADREDGOMGB",1923,1e-05,0.05,2.93586843670947,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",2e-04,-5,-1.30102999566398
"ACADREDGOMGB",1924,6e-05,0.05,2.9366832222434,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",0.0012,-4.22184874961636,-1.30102999566398
"ACADREDGOMGB",1925,4e-05,0.05,2.9399862893219,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",8e-04,-4.39794000867204,-1.30102999566398
"ACADREDGOMGB",1926,4.32e-05,0.05,2.94089384746613,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",0.000864,-4.36451625318509,-1.30102999566398
"ACADREDGOMGB",1927,4.34e-05,0.05,2.94182157356912,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",0.000868,-4.36251027048749,-1.30102999566398
"ACADREDGOMGB",1928,8.945e-05,0.05,2.9452032956868,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",0.001789,-4.04841965509661,-1.30102999566398
"ACADREDGOMGB",1929,5e-05,0.05,2.94612497140215,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",0.001,-4.30102999566398,-1.30102999566398
"ACADREDGOMGB",1930,8e-05,0.05,2.94705673109689,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",0.0016,-4.09691001300806,-1.30102999566398
"ACADREDGOMGB",1931,0.00016,0.05,2.95037391574652,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",0.0032,-3.79588001734407,-1.30102999566398
"ACADREDGOMGB",1932,9e-05,0.05,2.95120080205571,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",0.0018,-4.04575749056067,-1.30102999566398
"ACADREDGOMGB",1933,0.00018,0.05,2.95202365477314,"Acadian redfish Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","US East Coast",0.0036,-3.74472749489669,-1.30102999566398
