"stockid","first_collapse_year","first_danger_year","had_warning","lead_time"
"ACADREDGOMGB",1972,1941,TRUE,31
"AMPL5YZ",2002,1980,TRUE,22
"ANCHOBAYB",1987,Inf,FALSE,NA
"ARGHAKENARG",1993,1986,TRUE,7
"ARGHAKESARG",2000,1990,TRUE,10
"ATHAL5YZ",1890,1888,TRUE,2
"ATLCROAKMATLC",1973,1979,TRUE,-6
"BGROCKPCOAST",1994,1954,TRUE,40
"BKCDLFENI",2001,1987,TRUE,14
"BLUEFISHATLC",1991,1985,TRUE,6
"BLUEROCKCAL",1985,1981,TRUE,4
"BNSNZ",2009,1997,TRUE,12
"BSBASSMATLC",1990,1968,TRUE,22
"BSQLOBSTERNCH",1985,1985,TRUE,0
"CHTRACCH",2008,1982,TRUE,26
"CMACKPCOAST",1948,1956,TRUE,-8
"CMACKPJPN",1983,1970,TRUE,13
"COD3Pn4RS",1990,1993,TRUE,-3
"COD4X5Yb",2008,Inf,FALSE,NA
"COWCODSCAL",1983,1903,TRUE,80
"CROCKPCOAST",1992,1942,TRUE,50
"CSARDCSCH",1998,Inf,FALSE,NA
"DKROCKPCOAST",1998,1943,TRUE,55
"GAGGM",1972,1975,TRUE,-3
"GAGSATLC",2013,1978,TRUE,35
"GTRIGGM",2007,1982,TRUE,25
"HAKESPPSAF",1978,Inf,FALSE,NA
"HERR4RFA",1980,Inf,FALSE,NA
"HERR4RSP",1996,1966,TRUE,30
"HERR4TFA",1978,1978,TRUE,0
"HERR4TSP",1980,1978,TRUE,2
"HOKIWNZ",2004,Inf,FALSE,NA
"JMACKPJPN",1982,1982,TRUE,0
"JMACKTSST",1977,1973,TRUE,4
"LINGCODNPCOAST",1993,1942,TRUE,51
"LINGCODSPCOAST",1985,1924,TRUE,61
"LOBSTERGOM",1982,1982,TRUE,0
"MENATLAN",1966,1956,TRUE,10
"NRSOLEEBSAI",1975,1975,TRUE,0
"NSHRIMPCSCH",1980,1966,TRUE,14
"NZSNAPNZ8",1983,1966,TRUE,17
"OFLOUNECS",1986,1986,TRUE,0
"OROUGHYNZMEC",1994,1983,TRUE,11
"OROUGHYSE",2000,1989,TRUE,11
"PANCHCCH",1998,1998,TRUE,0
"PANCHCSCH",1990,1990,TRUE,0
"PANCHNCHSP",1984,1984,TRUE,0
"PAUAPAU7",1999,1981,TRUE,18
"PCEELARGS",2009,1998,TRUE,11
"PCEELSCH",2010,1982,TRUE,28
"PCODHS",2001,Inf,FALSE,NA
"PCODWCVANI",1984,1991,TRUE,-7
"PILCHPJPN",2000,1976,TRUE,24
"PLAIC7d",1980,1980,TRUE,0
"PLAICCELT",1996,1993,TRUE,3
"POPERCHGA",1976,1962,TRUE,14
"POPERCHPCOAST",1986,1943,TRUE,43
"REDFEAUS",2001,1979,TRUE,22
"REYEROCKBSAI",1977,1978,TRUE,-1
"RGROUPSATL",1981,1976,TRUE,5
"RPORGYSATLC",1989,1982,TRUE,7
"RSNAPGM",1971,1967,TRUE,4
"RSNAPSATLC",1978,1964,TRUE,14
"RSQLOBSTERCSCH",1979,1968,TRUE,11
"SAABALONESA",2014,1964,TRUE,50
"SARDPVIIIc-IXa",2012,1998,TRUE,14
"SBWHITACIR",1987,1988,TRUE,-1
"SBWHITARGS",2004,1989,TRUE,15
"SBWHITCH",2013,2004,TRUE,9
"SCALL5ZMAB",1975,1976,TRUE,-1
"SCUPNWATLC",1984,1984,TRUE,0
"SFLOUNMATLC",1982,1982,TRUE,0
"SNOWCRABBS",2014,1978,TRUE,36
"SNOWGROUPSATLC",1987,1981,TRUE,6
"SOLEIIIa-2224",1984,1984,TRUE,0
"SOLENS",2007,1957,TRUE,50
"SPANMACKSETO",1988,1987,TRUE,1
"SPHAKECH",1969,1962,TRUE,7
"SPRATNS",1982,1975,TRUE,7
"TIGERFLATSE",1949,1944,TRUE,5
"WAREHOUWSE",1994,Inf,FALSE,NA
"WHAKEGBGOM",1987,1982,TRUE,5
"WINFLOUN4T",2005,Inf,FALSE,NA
"WINFLOUNSNEMATL",1992,1981,TRUE,11
"WITFLOUN5Y",1994,1982,TRUE,12
"WPOLLEBS",1964,1971,TRUE,-7
"WPOLLGA",1973,Inf,FALSE,NA
"YELLSNEMATL",1993,1973,TRUE,20
"YEYEROCKPCOAST",1996,1927,TRUE,69
"YNOSESKACSCH",1996,1993,TRUE,3
"YNOSESKASCH",2003,1999,TRUE,4
"YSOLEBSAI",1962,1960,TRUE,2
