"6","6.08333333333333","6.16666666666667","6.25","6.33333333333333","6.41666666666667","6.5","6.58333333333333","6.66666666666667","6.75","6.83333333333333","6.91666666666667","7","7.08333333333333","7.16666666666667","7.25","7.33333333333333","7.41666666666667","7.5","7.58333333333333","7.66666666666667","7.75","7.83333333333333","7.91666666666667","8","midLength"
0,0,0,0,0,0,0,189,567,23,0,0,0,0,0,0,0,0,0,190,601,12,1,0,0,20.5
1,0,0,0,0,0,0,32,854,116,6,0,0,0,0,0,0,0,0,33,890,88,3,0,0,21.5
0,1,0,0,0,0,0,4,796,294,37,6,3,0,0,0,0,0,0,8,834,297,34,5,4,22.5
19,6,0,0,0,0,0,0,435,580,142,27,13,2,0,0,0,0,0,0,439,563,157,25,14,23.5
66,24,6,0,0,0,0,0,184,772,341,121,57,36,4,0,0,0,0,0,176,718,327,118,61,24.5
182,89,27,0,0,0,0,0,48,629,514,295,187,83,31,2,0,0,0,0,63,628,544,299,192,25.5
328,226,80,20,0,0,0,0,15,389,630,481,345,239,97,13,0,0,0,0,8,386,644,496,347,26.5
434,362,174,48,1,0,0,0,0,155,542,569,455,406,202,37,2,0,0,0,1,162,565,547,504,27.5
494,474,326,118,12,0,0,0,0,60,334,472,526,424,327,121,10,0,0,0,0,60,331,492,524,28.5
397,439,400,237,32,1,0,0,0,12,133,307,388,423,404,228,38,0,0,0,0,11,154,328,403,29.5
230,298,372,320,89,4,0,0,0,3,71,155,250,294,378,352,92,2,0,0,0,4,49,144,215,30.5
98,169,267,356,196,13,0,0,0,1,15,61,99,156,272,369,182,10,0,0,0,2,13,50,106,31.5
42,69,158,289,258,53,2,0,0,1,3,18,39,90,140,336,268,44,0,0,0,0,1,17,35,32.5
12,21,71,183,331,125,2,0,0,0,0,5,10,24,69,233,322,101,6,0,0,0,0,7,12,33.5
3,9,25,107,260,174,17,2,0,0,0,1,3,7,29,106,283,195,31,0,0,0,0,0,0,34.5
0,0,7,49,217,248,43,4,0,0,0,0,1,1,2,46,205,226,55,3,0,0,0,1,1,35.5
0,1,3,10,134,272,103,8,3,0,0,0,0,0,1,23,158,276,114,10,1,0,0,0,0,36.5
0,0,1,7,69,230,164,25,3,1,0,0,0,0,1,11,72,229,156,31,3,0,0,0,0,37.5
0,0,0,0,30,191,236,67,9,1,0,0,0,0,0,3,33,199,208,51,14,2,1,1,0,38.5
1,0,0,0,14,107,226,89,23,6,2,0,1,0,0,0,7,103,252,107,32,5,1,1,0,39.5
2,1,0,0,1,52,222,145,46,16,3,3,1,1,3,0,5,90,182,145,41,15,11,2,0,40.5
2,7,5,1,0,37,159,190,93,37,13,4,5,1,2,1,1,25,141,195,83,21,10,5,2,41.5
9,7,1,1,0,16,123,177,113,67,26,18,13,11,1,2,0,10,109,206,128,42,30,14,11,42.5
30,24,8,6,0,4,64,179,155,79,64,29,26,13,9,3,1,6,64,180,192,79,55,31,20,43.5
44,32,16,9,2,1,42,142,170,146,80,58,48,33,19,4,3,3,34,130,167,138,89,62,37,44.5
65,51,32,16,10,3,15,104,159,167,124,89,69,49,40,15,5,1,11,89,169,148,109,81,63,45.5
107,69,52,40,10,1,9,62,136,153,156,115,94,92,59,27,12,4,5,57,113,173,143,113,107,46.5
101,117,81,62,22,11,3,25,96,138,122,137,137,80,81,45,31,9,2,31,82,155,145,115,123,47.5
121,115,99,75,31,12,8,14,64,104,120,126,116,108,95,71,46,16,8,18,75,133,132,136,109,48.5
109,111,120,81,66,31,13,7,40,88,105,120,106,104,105,101,66,25,7,10,36,91,119,101,106,49.5
101,99,111,94,81,42,25,6,30,53,78,97,102,97,94,81,78,52,18,11,18,57,101,85,94,50.5
77,62,80,94,85,64,26,16,15,30,48,65,79,73,85,67,62,64,35,17,10,33,45,75,65,51.5
48,60,53,45,89,58,42,20,11,23,35,52,47,34,53,78,85,76,40,21,14,18,37,35,42,52.5
33,33,38,51,62,75,59,34,14,17,20,24,21,32,39,49,73,73,60,22,21,13,16,32,31,53.5
27,22,32,48,60,77,66,42,27,18,19,20,16,20,27,30,55,65,70,46,23,13,20,25,25,54.5
23,13,21,22,38,57,59,50,42,19,17,20,27,16,13,26,45,64,62,43,29,26,18,20,13,55.5
19,20,18,24,34,46,65,52,52,37,22,20,16,19,13,26,34,51,67,66,48,26,29,16,15,56.5
26,27,18,19,19,33,56,52,53,35,31,28,25,27,26,17,17,42,51,61,55,38,34,25,24,57.5
33,19,21,18,24,36,43,52,66,42,46,33,32,20,21,23,24,25,44,57,71,56,46,26,38,58.5
33,29,12,20,25,17,36,56,57,53,34,40,35,35,33,21,14,32,28,52,54,53,46,33,36,59.5
46,38,31,25,25,26,32,43,48,51,50,43,29,38,29,20,32,22,28,31,52,55,57,48,40,60.5
40,34,33,26,24,15,19,35,49,46,33,32,40,38,30,32,27,26,31,25,31,32,41,40,41,61.5
29,39,18,28,23,22,21,33,29,29,28,43,33,34,31,31,30,23,19,26,24,40,36,44,28,62.5
35,33,33,25,34,35,18,31,25,38,40,35,34,32,25,32,30,30,26,30,22,30,35,39,44,63.5
29,23,36,26,25,25,23,21,37,14,27,24,29,24,37,28,31,28,24,29,29,24,20,36,23,64.5
22,19,23,21,25,21,32,17,29,24,18,20,34,22,36,23,20,27,30,23,23,39,20,18,25,65.5
